iter	Logloss
0	0.6908217075
1	0.6886071817
2	0.6866543409
3	0.6845919406
4	0.6825981078
5	0.6805937504
6	0.6784210342
7	0.6762189554
8	0.6738824183
9	0.6719410371
10	0.6698888142
11	0.6682021596
12	0.6661521603
13	0.6644960288
14	0.6625979035
15	0.6605892107
16	0.6585792896
17	0.6566990166
18	0.6551769081
19	0.6530482567
20	0.6517760435
21	0.6499920635
22	0.6484038627
23	0.6469847892
24	0.6454004953
25	0.6440808917
26	0.6425803066
27	0.6405321873
28	0.6390544204
29	0.6373052462
30	0.6352318408
31	0.6333725525
32	0.6320006856
33	0.6302139022
34	0.6288383592
35	0.6271004309
36	0.6257014441
37	0.6242990973
38	0.6228545503
39	0.621594541
40	0.6200080541
41	0.6183467875
42	0.6172776038
43	0.6162410893
44	0.615093733
45	0.6133844878
46	0.6117521698
47	0.6106648301
48	0.6095069424
49	0.6084693007
50	0.6072336799
51	0.6060053471
52	0.6047535502
53	0.6031538603
54	0.6016777681
55	0.6003573572
56	0.5994007336
57	0.5984301943
58	0.5975151864
59	0.5964064235
60	0.5954549029
61	0.5945687063
62	0.5932458762
63	0.5920962804
64	0.5903542818
65	0.5895140683
66	0.5885616847
67	0.5875230599
68	0.5865268044
69	0.5853040829
70	0.5840187202
71	0.58297988
72	0.5818882536
73	0.5808308289
74	0.5799829034
75	0.5787476939
76	0.5779584433
77	0.577091966
78	0.5761881373
79	0.5749500608
80	0.5739455741
81	0.5730241406
82	0.5723021076
83	0.5712460438
84	0.5702945341
85	0.5691865142
86	0.5680646568
87	0.5672152207
88	0.5664141699
89	0.5655609953
90	0.5644903751
91	0.5637563661
92	0.5628529905
93	0.5617668452
94	0.5610618348
95	0.5600565598
96	0.5592964598
97	0.5585905186
98	0.5576504871
99	0.5568104778
100	0.5560606499
101	0.5552472621
102	0.5546193323
103	0.5537740279
104	0.5529454399
105	0.5520056702
106	0.5510088184
107	0.5500136958
108	0.549197028
109	0.548098322
110	0.5472987609
111	0.5465495195
112	0.5454674025
113	0.5446531507
114	0.5439608788
115	0.5434851385
116	0.5425166946
117	0.54181301
118	0.5411965656
119	0.5403717793
120	0.5395610432
121	0.5388297137
122	0.5379271769
123	0.5371580707
124	0.5365559905
125	0.5359088062
126	0.5353591405
127	0.5347444054
128	0.5340511704
129	0.5335462864
130	0.5329032872
131	0.5322116991
132	0.5314407134
133	0.5310002103
134	0.5303283812
135	0.5298484029
136	0.52937323
137	0.5286367071
138	0.5277039855
139	0.5271925601
140	0.526528706
141	0.525772003
142	0.5251802449
143	0.5245500515
144	0.5239740204
145	0.5236513345
146	0.5231971499
147	0.5227302087
148	0.521920915
149	0.521222726
150	0.5205946596
151	0.5199065846
152	0.5193016437
153	0.5185992907
154	0.518196278
155	0.5176794305
156	0.5171020258
157	0.5165733379
158	0.516056831
159	0.5154589759
160	0.5150044487
161	0.5146706754
162	0.5143017423
163	0.5136778394
164	0.513037692
165	0.5124491739
166	0.511764063
167	0.5110460551
168	0.510554588
169	0.5099332251
170	0.5093139351
171	0.5087711779
172	0.5083673557
173	0.5079168045
174	0.5074957265
175	0.5070708114
176	0.5065958804
177	0.506224217
178	0.5057699688
179	0.5053085528
180	0.5047904204
181	0.5044122015
182	0.5038909665
183	0.5032781812
184	0.5025214916
185	0.5019193337
186	0.5013554524
187	0.5011033173
188	0.5003681593
189	0.4997808407
190	0.4991623996
191	0.4986929585
192	0.498317919
193	0.4975549533
194	0.4971453334
195	0.4967738286
196	0.4963367819
197	0.4957942024
198	0.4955416102
199	0.494917674
200	0.4943991079
201	0.4939373239
202	0.4936099312
203	0.4933467237
204	0.4928684385
205	0.4924362541
206	0.4921370317
207	0.4917674016
208	0.491394964
209	0.4907250855
210	0.4904236534
211	0.4897844952
212	0.4892909638
213	0.4889060191
214	0.4885469914
215	0.4881670062
216	0.4877297635
217	0.4872498134
218	0.4868109547
219	0.4862114341
220	0.485975424
221	0.4853514254
222	0.4848822664
223	0.4845420093
224	0.4842045388
225	0.4836665181
226	0.4833839017
227	0.4829807507
228	0.4825216427
229	0.4819060439
230	0.4814250501
231	0.4808477664
232	0.480336121
233	0.4799130529
234	0.4794804209
235	0.4790776481
236	0.4783418305
237	0.4779246627
238	0.4773761433
239	0.4769309379
240	0.4764181191
241	0.4759731459
242	0.4756088895
243	0.4750350407
244	0.4745859064
245	0.4742855711
246	0.4737761491
247	0.4732764921
248	0.4727916792
249	0.4723810267
250	0.4719261145
251	0.4715303876
252	0.4710807895
253	0.470535402
254	0.4699791891
255	0.469464656
256	0.4690820402
257	0.468843331
258	0.4684781506
259	0.4682119603
260	0.4677562569
261	0.4673205741
262	0.4670983066
263	0.4665388323
264	0.4664054955
265	0.4659908787
266	0.4656325936
267	0.4652703455
268	0.4649291659
269	0.4645788666
270	0.4641662964
271	0.4636805564
272	0.4632580696
273	0.4628276396
274	0.4625237625
275	0.4622586465
276	0.4618951936
277	0.4616185118
278	0.4612293246
279	0.4608635394
280	0.4603961489
281	0.4600828151
282	0.4597862732
283	0.4594800422
